Anime Db id;Title;Type;Episodes;Watched episodes;My Score;Status
39783;5-toubun no Hanayome ;TV;12;0;0;Plan to Watch
22147;Amagi Brilliant Park;TV;13;13;7;Completed
24833;Ansatsu Kyoushitsu;TV;22;22;9;Completed
30654;Ansatsu Kyoushitsu 2nd Season;TV;25;25;9;Completed
9919;Ao no Exorcist;TV;25;25;8;Completed
11266;Ao no Exorcist: Kuro no Iede;Special;1;1;8;Completed
33506;Ao no Exorcist: Kyoto Fujouou-hen;TV;12;12;8;Completed
34572;Black Clover;TV;170;170;9;Completed
38768;Black Clover: Jump Festa 2018 Special;Special;1;1;7;Completed
269;Bleach;TV;366;366;9;Completed
35118;Bleach KaraBuri!: Gotei Juusan Yatai Daisakusen!;OVA;1;0;0;Plan to Watch
1686;Bleach Movie 1: Memories of Nobody;Movie;1;0;0;Plan to Watch
31964;Boku no Hero Academia;TV;13;13;8;Completed
33486;Boku no Hero Academia 2nd Season;TV;25;25;8;Completed
34566;Boruto: Naruto Next Generations;TV;0;183;7;Watching
28755;Boruto: Naruto the Movie;Movie;1;1;7;Completed
31478;Bungou Stray Dogs;TV;12;12;9;Completed
32867;Bungou Stray Dogs 2nd Season;TV;12;12;9;Completed
38003;Bungou Stray Dogs 3rd Season;TV;12;12;8;Completed
50330;Bungou Stray Dogs 4th Season;TV;0;0;0;Plan to Watch
42250;Bungou Stray Dogs Wan!;TV;12;12;7;Completed
34944;Bungou Stray Dogs: Dead Apple;Movie;1;0;6;On-Hold
16592;Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation;TV;13;13;7;Completed
1535;Death Note;TV;37;37;8;Completed
28223;Death Parade;TV;12;12;10;Completed
38691;Dr. Stone;TV;24;24;10;Completed
50612;Dr. Stone: Ryuusui;Special;1;1;10;Completed
40852;Dr. Stone: Stone Wars;TV;11;11;10;Completed
30694;Dragon Ball Super;TV;131;131;8;Completed
36946;Dragon Ball Super: Broly;Movie;1;1;8;Completed
38671;Enen no Shouboutai;TV;24;24;8;Completed
6702;Fairy Tail;TV;175;175;10;Completed
22043;Fairy Tail (2014);TV;102;102;10;Completed
30778;Fairy Tail Movie 2: Dragon Cry;Movie;1;1;9;Completed
18393;Fairy Tail x Rave;OVA;1;1;7;Completed
35972;Fairy Tail: Final Series;TV;51;51;9;Completed
18507;Free!;TV;12;12;8;Completed
22265;Free! Eternal Summer;TV;13;13;8;Completed
38400;Free! Movie 4: The Final Stroke - Zenpen;Movie;1;1;7;Completed
5114;Fullmetal Alchemist: Brotherhood;TV;64;64;9;Completed
40052;Great Pretender;TV;23;23;7;Completed
20583;Haikyuu!!;TV;25;25;10;Completed
28891;Haikyuu!! Second Season;TV;25;25;10;Completed
32935;Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou;TV;10;10;10;Completed
8074;Highschool of the Dead;TV;12;12;7;Completed
42897;Horimiya;TV;13;13;7;Completed
431;Howl no Ugoku Shiro;Movie;1;1;8;Completed
